ID, Label, Wikipedia
Q375783,"Joseph Vivien","Joseph Vivien"
Q375792,"Warren Zevon","Warren Zevon"
Q375804,"Ludovico di Varthema","Ludovico di Varthema"
Q375861,"Ferdinand von Tiesenhausen","Ferdinand von Tiesenhausen"
Q375998,"Giovanni Pascoli","Giovanni Pascoli"
Q376071,"Gordon Dahlquist","Gordon Dahlquist"
Q376085,"Leonard Borwick","Leonard Borwick"
Q376087,"Samuel Baker","Samuel Baker"
Q376182,"Wings Hauser","Wings Hauser"
Q376260,"Jeffrey Lieber","Jeffrey Lieber"
Q376261,"Angelo Infanti","Angelo Infanti"
Q376360,"Vuk Branković","Vuk Branković"
Q376422,"Federico Ferrari","Federico Ferrari"
Q376484,"Gunnar Helén","Gunnar Helén"
Q376549,"Juan Carlos Wasmosy","Juan Carlos Wasmosy"
Q376678,"Yahya Haqqi","Yahya Haqqi"
Q376836,"David Breashears","David Breashears"
Q376910,"Edmond Jacquelin","Edmond Jacquelin"
Q376997,"Nicolas Darvas","Nicolas Darvas"
Q377010,"Paolo Luigioni","Paolo Luigioni"
Q377071,"Edgar Tinel","Edgar Tinel"
Q377099,"Henri Donnedieu de Vabres","Henri Donnedieu de Vabres"
Q377212,"Aldo Protti","Aldo Protti"
Q377320,"Saverio Manetti","Saverio Manetti"
Q377549,"Léon Gaumont","Léon Gaumont"
Q377662,"Jeffrey Jones","Jeffrey Jones"
Q377768,"Bernard Foccroulle","Bernard Foccroulle"
Q377796,"Maurice Kendall","Maurice Kendall"
Q377822,"Per Teodor Cleve","Per Teodor Cleve"
Q377977,"Thorvald Stoltenberg","Thorvald Stoltenberg"
Q377985,"Joseph Barcroft","Joseph Barcroft"
Q378060,"Jacques Ozanam","Jacques Ozanam"
Q378286,"Pál Prónay","Pál Prónay"
Q378333,"Rolan Bykov","Rolan Bykov"
Q378355,"Liuva II","Liuva II"
Q378450,"Sakamoto Ryōma","Sakamoto Ryōma"
Q378470,"Cao Rui","Cao Rui"
Q378564,"Wang Xizhi","Wang Xizhi"
Q378603,"Angelo Bagnasco","Angelo Bagnasco"
Q378624,"Macrianus Minor","Macrianus Minor"
Q378693,"Gaetano Bresci","Gaetano Bresci"
Q378702,"Pepin II of Aquitaine","Pepin II of Aquitaine"
Q378706,"Vincenzo Gioberti","Vincenzo Gioberti"
Q378833,"Ahmed Qurei","Ahmed Qurei"
Q379219,"Pierre Varignon","Pierre Varignon"
Q379290,"Jacint Verdaguer","Jacint Verdaguer"
Q379521,"Ercole de' Roberti","Ercole de' Roberti"
Q379536,"Joshua Uzoigwe","Joshua Uzoigwe"
Q379554,"Jānis Čakste","Jānis Čakste"
Q379563,"José Serra","José Serra"
Q379576,"Sobhuza II","Sobhuza II"
Q379628,"Robert Conquest","Robert Conquest"
Q379673,"Kit Carson","Kit Carson"
Q379699,"Jules Guesde","Jules Guesde"
Q379748,"Peter I of Aragon and Navarre","Peter I of Aragon and Pamplona"
Q379752,"Leonardo Boff","Leonardo Boff"
Q379830,"Edison Chen","Edison Chen"
Q379835,"Lei Feng","Lei Feng"
Q379870,"Ufuk Uras","Ufuk Uras"
Q379943,"Pierre Jean Jouve","Pierre Jean Jouve"
Q379949,"Tristan Bernard","Tristan Bernard"
Q379960,"Driss Chraïbi","Driss Chraïbi"
Q379972,"Bernardino de Sahagún","Bernardino de Sahagún"
Q380004,"Ibn Khordadbeh","Ibn Khordadbeh"
Q380038,"Harvey Williams Cushing","Harvey Cushing"
Q380052,"Marià Fortuny","Marià Fortuny"
Q380085,"Theodor Kittelsen","Theodor Kittelsen"
Q380143,"Felix Gottwald","Felix Gottwald"
Q380148,"Motilal Nehru","Motilal Nehru"
Q380152,"Azim Premji","Azim Premji"
Q380221,"Vilayanur S. Ramachandran","Vilayanur S. Ramachandran"
Q380263,"Presian I of Bulgaria","Presian I of Bulgaria"
Q380291,"Philip Massinger","Philip Massinger"
Q380350,"Nikolay Bobrikov","Nikolay Bobrikov"
Q380355,"David Wilkerson","David Wilkerson"
Q380373,"Mikhail of Tver","Mikhail of Tver"
